Date,New Cases,7-Day Moving Avg
Dec 1 2020,5396,5405
Nov 30 2020,5665,5437
Nov 29 2020,4304,5422
Nov 28 2020,4471,5689
Nov 27 2020,5643,6032
Nov 26 2020,6373,6198
Nov 25 2020,5983,6328
Nov 24 2020,5625,6333
Nov 23 2020,5556,6309
Nov 22 2020,6174,6251
Nov 21 2020,6872,6328
Nov 20 2020,6808,6535
Nov 19 2020,7281,6362
Nov 18 2020,6015,6264
Nov 17 2020,5463,6124
Nov 16 2020,5147,6033
Nov 15 2020,6710,5889
Nov 14 2020,8322,5595
Nov 13 2020,5600,5106
Nov 12 2020,6591,4969
Nov 11 2020,5036,4658
Nov 10 2020,4829,4467
Nov 9 2020,4135,4189
Nov 8 2020,4652,4038
Nov 7 2020,4899,3766
Nov 6 2020,4647,3561
Nov 5 2020,4412,3349
Nov 4 2020,3698,3236
Nov 3 2020,2881,3071
Nov 2 2020,3077,2943
Nov 1 2020,2750,2785
Oct 31 2020,3465,2700
Oct 30 2020,3163,2597
Oct 29 2020,3618,2497
Oct 28 2020,2548,2388
Oct 27 2020,1983,2271
Oct 26 2020,1974,2202
Oct 25 2020,2153,2146
Oct 24 2020,2741,2068
Oct 23 2020,2467,2031
Oct 22 2020,2850,2004
Oct 21 2020,1732,1875
Oct 20 2020,1498,1794
Oct 19 2020,1584,1801
Oct 18 2020,1605,1800
Oct 17 2020,2482,1795
Oct 16 2020,2283,1714
Oct 15 2020,1943,1647
Oct 14 2020,1165,1577
Oct 13 2020,1549,1594
Oct 12 2020,1574,1511
Oct 11 2020,1570,1405
Oct 10 2020,1918,1336
Oct 9 2020,1816,1264
Oct 8 2020,1450,1214
Oct 7 2020,1281,1172
Oct 6 2020,970,1125
Oct 5 2020,830,1093
Oct 4 2020,1087,1099
Oct 3 2020,1419,1072
Oct 2 2020,1464,1033
Oct 1 2020,1157,991
Sep 30 2020,953,954
Sep 29 2020,744,920
Sep 28 2020,872,899
Sep 27 2020,901,849
Sep 26 2020,1142,827
Sep 25 2020,1171,817
Sep 24 2020,899,798
Sep 23 2020,711,789
Sep 22 2020,599,771
Sep 21 2020,522,783
Sep 20 2020,746,814
Sep 19 2020,1076,885
