"date","total_cases","parks_percent_change_from_baseline"
"2020-02-15 00:00:00",0,20.692307692307693
"2020-02-16 00:00:00",0,36.333333333333336
"2020-02-17 00:00:00",0,-9.166666666666666
"2020-02-18 00:00:00",0,-1.3333333333333333
"2020-02-19 00:00:00",0,7.181818181818182
"2020-02-20 00:00:00",0,-0.38461538461538464
"2020-02-21 00:00:00",0,7
"2020-02-22 00:00:00",0,91.85714285714286
"2020-02-23 00:00:00",0,90
"2020-02-24 00:00:00",0,-7.384615384615385
"2020-02-25 00:00:00",0,-9.153846153846153
"2020-02-26 00:00:00",0,-6.923076923076923
"2020-02-27 00:00:00",0,-0.25
"2020-02-28 00:00:00",0,4.615384615384615
"2020-02-29 00:00:00",0,29.4
"2020-03-01 00:00:00",0,88
"2020-03-02 00:00:00",0,13.8
"2020-03-03 00:00:00",0,25
"2020-03-04 00:00:00",0,44.5
"2020-03-05 00:00:00",0,36.77777777777778
"2020-03-06 00:00:00",1,5.333333333333333
"2020-03-07 00:00:00",1,105.66666666666667
"2020-03-08 00:00:00",2,157.5
"2020-03-09 00:00:00",3,18
"2020-03-10 00:00:00",6,14.555555555555555
"2020-03-11 00:00:00",11,28
"2020-03-12 00:00:00",13,41.75
"2020-03-13 00:00:00",13,35.2
"2020-03-14 00:00:00",16,-1.4666666666666666
"2020-03-15 00:00:00",20,38.416666666666664
"2020-03-16 00:00:00",25,0
"2020-03-17 00:00:00",30,52.714285714285715
"2020-03-18 00:00:00",38,-9.785714285714286
"2020-03-19 00:00:00",60,-4.769230769230769
"2020-03-20 00:00:00",86,11.083333333333334
"2020-03-21 00:00:00",128,7.923076923076923
"2020-03-22 00:00:00",204,-5.875
"2020-03-23 00:00:00",270,0.09090909090909091
"2020-03-24 00:00:00",368,7.8
"2020-03-25 00:00:00",477,58
"2020-03-26 00:00:00",645,13.625
"2020-03-27 00:00:00",979,9.5
"2020-03-28 00:00:00",1233,11.555555555555555
"2020-03-29 00:00:00",1513,13.833333333333334
"2020-03-30 00:00:00",1786,12.11111111111111
"2020-03-31 00:00:00",2158,-0.6363636363636364
"2020-04-01 00:00:00",2564,33.5
"2020-04-02 00:00:00",3038,83.14285714285714
"2020-04-03 00:00:00",3437,97.875
"2020-04-04 00:00:00",3953,9.727272727272727
"2020-04-05 00:00:00",4411,57.833333333333336
"2020-04-06 00:00:00",4956,62.375
"2020-04-07 00:00:00",5510,78.5
"2020-04-08 00:00:00",5943,62.5
"2020-04-09 00:00:00",6351,6.2727272727272725
"2020-04-10 00:00:00",6907,19.90909090909091
"2020-04-11 00:00:00",7435,70.55555555555556
"2020-04-12 00:00:00",7928,11.071428571428571
"2020-04-13 00:00:00",8359,-9.642857142857142
"2020-04-14 00:00:00",8527,10.666666666666666
"2020-04-15 00:00:00",8960,1.2142857142857142
"2020-04-16 00:00:00",9542,19.833333333333332
"2020-04-17 00:00:00",10154,-22.266666666666666
"2020-04-18 00:00:00",10641,58.142857142857146
"2020-04-19 00:00:00",11211,54.22222222222222
"2020-04-20 00:00:00",11688,69.375
"2020-04-21 00:00:00",12097,21.625
"2020-04-22 00:00:00",12438,32.5
"2020-04-23 00:00:00",13039,-2.2142857142857144
"2020-04-24 00:00:00",13681,60.625
"2020-04-25 00:00:00",14399,23.5
"2020-04-26 00:00:00",15012,58.888888888888886
"2020-04-27 00:00:00",15961,67.875
"2020-04-28 00:00:00",16588,93
"2020-04-29 00:00:00",17182,6.3076923076923075
"2020-04-30 00:00:00",17835,2.230769230769231
"2020-05-01 00:00:00",18630,99
"2020-05-02 00:00:00",19295,93
"2020-05-03 00:00:00",19933,63.142857142857146
"2020-05-04 00:00:00",20507,65.25
"2020-05-05 00:00:00",21033,1.75
"2020-05-06 00:00:00",21870,90.57142857142857
"2020-05-07 00:00:00",22503,98.4
"2020-05-08 00:00:00",23146,27.384615384615383
"2020-05-09 00:00:00",23732,70.8
"2020-05-10 00:00:00",24126,18.916666666666668
"2020-05-11 00:00:00",24627,17.53846153846154
"2020-05-12 00:00:00",25127,74.66666666666667
"2020-05-13 00:00:00",25473,53.5
"2020-05-14 00:00:00",26053,20.6
"2020-05-15 00:00:00",26656,60.6
"2020-05-16 00:00:00",27280,120
"2020-05-17 00:00:00",27778,29.25
"2020-05-18 00:00:00",28255,27.083333333333332
"2020-05-19 00:00:00",28705,22.5
"2020-05-20 00:00:00",29274,59.142857142857146
"2020-05-21 00:00:00",29936,67.44444444444444
"2020-05-22 00:00:00",30409,111.28571428571429
"2020-05-23 00:00:00",30901,125.5
"2020-05-24 00:00:00",31376,98.5
"2020-05-25 00:00:00",31715,122
"2020-05-26 00:00:00",32078,81.5
"2020-05-27 00:00:00",32437,97
"2020-05-28 00:00:00",33068,61.666666666666664
"2020-05-29 00:00:00",33558,114.16666666666667
"2020-05-30 00:00:00",34211,117
"2020-05-31 00:00:00",34574,84.5
"2020-06-01 00:00:00",34830,97.14285714285714
"2020-06-02 00:00:00",35237,112.25
"2020-06-03 00:00:00",35712,89.8
"2020-06-04 00:00:00",36096,85.6
"2020-06-05 00:00:00",36578,109
"2020-06-06 00:00:00",36997,144.66666666666666
"2020-06-07 00:00:00",37397,122.5
"2020-06-08 00:00:00",37623,105.6
"2020-06-09 00:00:00",38033,77.2
"2020-06-10 00:00:00",38337,86.5
"2020-06-11 00:00:00",38748,136.5
"2020-06-12 00:00:00",39146,124.5
"2020-06-13 00:00:00",39543,121
"2020-06-14 00:00:00",39909,141
"2020-06-15 00:00:00",40430,113.66666666666667
"2020-06-16 00:00:00",40786,144.75
"2020-06-17 00:00:00",41013,85.5
"2020-06-18 00:00:00",41438,138.25
"2020-06-19 00:00:00",41746,120.5
"2020-06-20 00:00:00",42061,158
"2020-06-21 00:00:00",42423,114.42857142857143
"2020-06-22 00:00:00",42633,105.57142857142857
"2020-06-23 00:00:00",42871,125
"2020-06-24 00:00:00",43140,134.66666666666666
"2020-06-25 00:00:00",43655,150.25
"2020-06-26 00:00:00",44140,114.33333333333333
"2020-06-27 00:00:00",44575,107.33333333333333
"2020-06-28 00:00:00",44930,91.75
"2020-06-29 00:00:00",45228,74.2
"2020-06-30 00:00:00",45594,84.8
"2020-07-01 00:00:00",45952,110.33333333333333
"2020-07-02 00:00:00",46387,138.5
"2020-07-03 00:00:00",46915,135.75
"2020-07-04 00:00:00",47432,138.33333333333334
"2020-07-05 00:00:00",48201,105.66666666666667
"2020-07-06 00:00:00",48524,97
"2020-07-07 00:00:00",48626,107
"2020-07-08 00:00:00",49063,103.75
"2020-07-09 00:00:00",49575,116.6
"2020-07-10 00:00:00",50300,91.25
"2020-07-11 00:00:00",51079,103
"2020-07-12 00:00:00",51612,105.33333333333333
"2020-07-13 00:00:00",52037,114.25
"2020-07-14 00:00:00",52685,135.5
"2020-07-15 00:00:00",53370,121.25
"2020-07-16 00:00:00",54080,110.5
"2020-07-17 00:00:00",54813,127.2
"2020-07-18 00:00:00",55654,117.5
"2020-07-19 00:00:00",56571,101.66666666666667
"2020-07-20 00:00:00",57206,106.83333333333333
"2020-07-21 00:00:00",57916,85.25
"2020-07-22 00:00:00",58673,82
"2020-07-23 00:00:00",59602,108.6
