date,population,total_cases,new_cases,parks_percent_change_from_baseline
4/17/20 0:00,6691878,10154,612,-22
11/22/20 0:00,6691878,295357,6174,-14
3/18/20 0:00,6691878,38,8,-10
4/13/20 0:00,6691878,8359,431,-10
2/25/20 0:00,6691878,0,0,-9
2/17/20 0:00,6691878,0,0,-9
2/26/20 0:00,6691878,0,0,-7
2/24/20 0:00,6691878,0,0,-7
3/22/20 0:00,6691878,204,76,-6
11/25/20 0:00,6691878,312521,5983,-5
3/19/20 0:00,6691878,60,22,-5
11/26/20 0:00,6691878,318894,6373,-3
4/23/20 0:00,6691878,13039,601,-2
11/24/20 0:00,6691878,306538,5625,-2
11/15/20 0:00,6691878,251597,6710,-2
3/14/20 0:00,6691878,16,3,-1
2/18/20 0:00,6691878,0,0,-1
3/31/20 0:00,6691878,2158,372,-1
2/20/20 0:00,6691878,0,0,0
2/27/20 0:00,6691878,0,0,0
3/16/20 0:00,6691878,25,5,0
3/23/20 0:00,6691878,270,66,0
4/15/20 0:00,6691878,8960,433,1
5/5/20 0:00,6691878,21033,526,2
4/30/20 0:00,6691878,17835,653,2
11/23/20 0:00,6691878,300913,5556,3
11/16/20 0:00,6691878,256744,5147,4
11/17/20 0:00,6691878,262207,5463,4
3/6/20 0:00,6691878,1,1,5
2/28/20 0:00,6691878,0,0,5
4/29/20 0:00,6691878,17182,594,6
4/9/20 0:00,6691878,6351,408,6
2/19/20 0:00,6691878,0,0,7
10/26/20 0:00,6691878,164581,1974,7
2/21/20 0:00,6691878,0,0,7
10/19/20 0:00,6691878,149166,1584,7
3/24/20 0:00,6691878,368,98,8
3/21/20 0:00,6691878,128,42,8
3/27/20 0:00,6691878,979,334,10
11/2/20 0:00,6691878,185185,3077,10
4/4/20 0:00,6691878,3953,516,10
4/14/20 0:00,6691878,8527,168,11
4/12/20 0:00,6691878,7928,493,11
3/20/20 0:00,6691878,86,26,11
3/28/20 0:00,6691878,1233,254,12
3/30/20 0:00,6691878,1786,273,12
3/2/20 0:00,6691878,0,0,14
3/26/20 0:00,6691878,645,168,14
3/29/20 0:00,6691878,1513,280,14
10/29/20 0:00,6691878,172730,3618,14
3/10/20 0:00,6691878,6,3,15
10/27/20 0:00,6691878,166564,1983,15
11/18/20 0:00,6691878,268222,6015,16
11/13/20 0:00,6691878,236565,5600,17
11/11/20 0:00,6691878,224374,5036,18
3/9/20 0:00,6691878,3,1,18
5/11/20 0:00,6691878,24627,501,18
5/10/20 0:00,6691878,24126,394,19
4/10/20 0:00,6691878,6907,556,20
4/16/20 0:00,6691878,9542,582,20
2/15/20 0:00,6691878,0,0,21
5/14/20 0:00,6691878,26053,580,21
11/1/20 0:00,6691878,182108,2750,21
11/27/20 0:00,6691878,324537,5643,22
11/12/20 0:00,6691878,230965,6591,22
4/21/20 0:00,6691878,12097,409,22
9/28/20 0:00,6691878,118322,872,23
5/19/20 0:00,6691878,28705,450,23
4/25/20 0:00,6691878,14399,718,24
3/3/20 0:00,6691878,0,0,25
11/14/20 0:00,6691878,244887,8322,27
5/8/20 0:00,6691878,23146,643,27
5/18/20 0:00,6691878,28255,477,27
3/11/20 0:00,6691878,11,5,28
8/28/20 0:00,6691878,91313,809,28
11/19/20 0:00,6691878,275503,7281,29
2/29/20 0:00,6691878,0,0,29
8/27/20 0:00,6691878,90504,1145,29
11/29/20 0:00,6691878,333312,4304,29
5/17/20 0:00,6691878,27778,498,29
11/21/20 0:00,6691878,289183,6872,31
4/22/20 0:00,6691878,12438,341,33
10/12/20 0:00,6691878,136555,1574,34
10/15/20 0:00,6691878,141212,1943,34
4/1/20 0:00,6691878,2564,406,34
10/20/20 0:00,6691878,150664,1498,34
3/13/20 0:00,6691878,13,0,35
8/25/20 0:00,6691878,88421,829,36
2/16/20 0:00,6691878,0,0,36
10/23/20 0:00,6691878,157713,2467,36
8/18/20 0:00,6691878,81847,841,37
3/5/20 0:00,6691878,0,0,37
3/15/20 0:00,6691878,20,4,38
7/30/20 0:00,6691878,65253,954,38
9/2/20 0:00,6691878,95750,859,40
9/10/20 0:00,6691878,102243,758,40
9/8/20 0:00,6691878,100780,386,40
9/1/20 0:00,6691878,94891,695,41
3/12/20 0:00,6691878,13,2,42
11/10/20 0:00,6691878,219338,4829,42
8/26/20 0:00,6691878,89359,938,43
11/20/20 0:00,6691878,282311,6808,44
3/4/20 0:00,6691878,0,0,45
10/30/20 0:00,6691878,175893,3163,49
9/9/20 0:00,6691878,101485,705,49
10/28/20 0:00,6691878,169112,2548,49
9/3/20 0:00,6691878,96854,1104,49
8/3/20 0:00,6691878,68433,576,51
11/5/20 0:00,6691878,196176,4412,51
8/21/20 0:00,6691878,84317,1040,51
9/4/20 0:00,6691878,97884,1030,52
8/20/20 0:00,6691878,83277,941,52
11/9/20 0:00,6691878,214509,4135,53
3/17/20 0:00,6691878,30,5,53
5/13/20 0:00,6691878,25473,346,54
4/19/20 0:00,6691878,11211,570,54
10/1/20 0:00,6691878,121176,1157,56
10/21/20 0:00,6691878,152396,1732,56
8/10/20 0:00,6691878,74992,664,57
3/25/20 0:00,6691878,477,109,58
4/18/20 0:00,6691878,10641,487,58
4/5/20 0:00,6691878,4411,458,58
7/27/20 0:00,6691878,62907,535,59
4/26/20 0:00,6691878,15012,613,59
5/20/20 0:00,6691878,29274,569,59
11/28/20 0:00,6691878,329008,4471,60
10/16/20 0:00,6691878,143495,2283,61
5/15/20 0:00,6691878,26656,603,61
4/24/20 0:00,6691878,13681,642,61
5/28/20 0:00,6691878,33068,631,62
10/5/20 0:00,6691878,125976,830,62
4/6/20 0:00,6691878,4956,545,62
10/4/20 0:00,6691878,125146,1087,63
5/3/20 0:00,6691878,19933,638,63
4/8/20 0:00,6691878,5943,433,63
10/18/20 0:00,6691878,147582,1605,64
10/2/20 0:00,6691878,122640,1464,65
10/25/20 0:00,6691878,162607,2153,65
5/4/20 0:00,6691878,20507,574,65
9/29/20 0:00,6691878,119066,744,67
11/4/20 0:00,6691878,191764,3698,67
5/21/20 0:00,6691878,29936,662,67
4/27/20 0:00,6691878,15961,949,68
9/30/20 0:00,6691878,120019,953,68
11/6/20 0:00,6691878,200823,4647,69
4/20/20 0:00,6691878,11688,477,69
4/11/20 0:00,6691878,7435,528,71
5/9/20 0:00,6691878,23732,586,71
8/1/20 0:00,6691878,67122,968,73
6/29/20 0:00,6691878,45228,298,74
5/12/20 0:00,6691878,25127,500,75
6/9/20 0:00,6691878,38033,410,77
4/7/20 0:00,6691878,5510,554,79
7/22/20 0:00,6691878,58673,757,82
9/23/20 0:00,6691878,113337,711,82
5/26/20 0:00,6691878,32078,363,82
10/6/20 0:00,6691878,126946,970,83
4/2/20 0:00,6691878,3038,474,83
6/30/20 0:00,6691878,45594,366,85
5/31/20 0:00,6691878,34574,363,85
11/3/20 0:00,6691878,188066,2881,85
7/21/20 0:00,6691878,57916,710,85
6/4/20 0:00,6691878,36096,384,86
6/17/20 0:00,6691878,41013,227,86
6/10/20 0:00,6691878,38337,304,87
3/1/20 0:00,6691878,0,0,88
10/13/20 0:00,6691878,138104,1549,89
6/3/20 0:00,6691878,35712,475,90
2/23/20 0:00,6691878,0,0,90
10/7/20 0:00,6691878,128227,1281,90
7/10/20 0:00,6691878,50300,725,91
5/6/20 0:00,6691878,21870,837,91
2/22/20 0:00,6691878,0,0,92
6/28/20 0:00,6691878,44930,355,92
4/28/20 0:00,6691878,16588,627,93
9/21/20 0:00,6691878,112027,522,93
5/2/20 0:00,6691878,19295,665,93
9/22/20 0:00,6691878,112626,599,96
9/14/20 0:00,6691878,106540,736,97
5/27/20 0:00,6691878,32437,359,97
6/1/20 0:00,6691878,34830,256,97
7/6/20 0:00,6691878,48524,323,97
5/7/20 0:00,6691878,22503,633,98
10/8/20 0:00,6691878,129677,1450,98
4/3/20 0:00,6691878,3437,399,98
10/24/20 0:00,6691878,160454,2741,99
5/1/20 0:00,6691878,18630,795,99
5/24/20 0:00,6691878,31376,475,99
10/14/20 0:00,6691878,139269,1165,99
10/10/20 0:00,6691878,133411,1918,102
7/19/20 0:00,6691878,56571,917,102
8/12/20 0:00,6691878,76522,660,102
8/2/20 0:00,6691878,67857,735,103
7/11/20 0:00,6691878,51079,779,103
9/24/20 0:00,6691878,114236,899,104
7/8/20 0:00,6691878,49063,437,104
7/12/20 0:00,6691878,51612,533,105
9/18/20 0:00,6691878,109683,1037,105
10/22/20 0:00,6691878,155246,2850,105
7/5/20 0:00,6691878,48201,769,106
6/8/20 0:00,6691878,37623,226,106
3/7/20 0:00,6691878,1,0,106
6/22/20 0:00,6691878,42633,210,106
7/7/20 0:00,6691878,48626,102,107
9/17/20 0:00,6691878,108646,837,107
6/27/20 0:00,6691878,44575,435,107
7/20/20 0:00,6691878,57206,635,107
8/13/20 0:00,6691878,77565,1043,108
8/11/20 0:00,6691878,75862,870,108
7/23/20 0:00,6691878,59602,929,109
6/5/20 0:00,6691878,36578,482,109
